<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
USDCB,M,20110101,000000,29.6684000
USDCB,M,20110201,000000,28.9405000
USDCB,M,20110301,000000,28.4290000
USDCB,M,20110401,000000,27.5022000
USDCB,M,20110501,000000,28.0685000
USDCB,M,20110601,000000,28.0758000
USDCB,M,20110701,000000,27.6796000
USDCB,M,20110801,000000,28.8569000
USDCB,M,20110901,000000,31.8751000
USDCB,M,20111001,000000,29.8977000
USDCB,M,20111101,000000,31.3216000
USDCB,M,20111201,000000,32.1961000
USDCB,M,20120101,000000,30.3647000
USDCB,M,20120201,000000,28.9503000
USDCB,M,20120301,000000,29.3282000
USDCB,M,20120401,000000,29.3627000
USDCB,M,20120501,000000,32.4509000
USDCB,M,20120601,000000,32.8169000
USDCB,M,20120701,000000,32.1881000
USDCB,M,20120801,000000,32.2934000
USDCB,M,20120901,000000,30.9169000
USDCB,M,20121001,000000,31.5252000
USDCB,M,20121101,000000,31.0565000
USDCB,M,20121201,000000,30.3727000
USDCB,M,20130101,000000,30.0277000
USDCB,M,20130201,000000,30.6202000
USDCB,M,20130301,000000,31.0834000
USDCB,M,20130401,000000,31.2559000
USDCB,M,20130501,000000,31.5893000
USDCB,M,20130601,000000,32.7090000
USDCB,M,20130701,000000,32.8901000
USDCB,M,20130801,000000,33.2474000
USDCB,M,20130901,000000,32.3451000
USDCB,M,20131001,000000,31.9445000
USDCB,M,20131101,000000,33.1916000
USDCB,M,20131201,000000,32.7292000
USDCB,M,20140101,000000,35.2448000
USDCB,M,20140201,000000,36.0501000
USDCB,M,20140301,000000,35.6871000
USDCB,M,20140401,000000,35.6983000
USDCB,M,20140501,000000,34.7352000
USDCB,M,20140601,000000,33.6306000
USDCB,M,20140701,000000,35.7271000
USDCB,M,20140801,000000,36.9316000
USDCB,M,20140901,000000,39.3866000
USDCB,M,20141001,000000,43.3943000
USDCB,M,20141101,000000,49.3220000
USDCB,M,20141201,000000,56.2584000
USDCB,M,20150101,000000,68.9291000
USDCB,M,20150201,000000,61.2718000
USDCB,M,20150301,000000,58.4643000
USDCB,M,20150401,000000,51.7029000
USDCB,M,20150501,000000,52.9716000
USDCB,M,20150601,000000,55.5240000
USDCB,M,20150701,000000,58.9906000
USDCB,M,20150801,000000,66.4779000
USDCB,M,20150901,000000,66.2367000
USDCB,M,20151001,000000,64.3742000
USDCB,M,20151101,000000,66.2393000
USDCB,M,20151201,000000,72.8827000
USDCB,M,20160101,000000,75.1723000
USDCB,M,20160201,000000,75.0903000
USDCB,M,20160301,000000,67.6076000
USDCB,M,20160401,000000,64.3334000
USDCB,M,20160501,000000,66.0825000
USDCB,M,20160601,000000,64.2575000
USDCB,M,20160701,000000,67.0512000
USDCB,M,20160801,000000,64.9072000
USDCB,M,20160901,000000,63.1581000
USDCB,M,20161001,000000,62.9037000
USDCB,M,20161101,000000,64.9449000
USDCB,M,20161201,000000,60.6569000
USDCB,M,20170101,000000,60.1618000
USDCB,M,20170201,000000,57.9371000
USDCB,M,20170301,000000,56.3779000
USDCB,M,20170401,000000,56.9838000
USDCB,M,20170501,000000,56.5168000
USDCB,M,20170601,000000,59.0855000
USDCB,M,20170701,000000,59.5436000
USDCB,M,20170801,000000,58.7306000
USDCB,M,20170901,000000,58.0169000
USDCB,M,20171001,000000,57.8716000
USDCB,M,20171101,000000,58.3311000
USDCB,M,20171201,000000,57.6002000
USDCB,M,20180101,000000,56.2914000
USDCB,M,20180201,000000,55.6717000
USDCB,M,20180301,000000,57.2649000
USDCB,M,20180401,000000,61.9997000
USDCB,M,20180501,000000,62.5937000
USDCB,M,20180601,000000,62.7565000
USDCB,M,20180701,000000,62.7805000
USDCB,M,20180801,000000,68.0821000
USDCB,M,20180901,000000,65.5906000
USDCB,M,20181001,000000,65.7742000
USDCB,M,20181101,000000,66.6342000
USDCB,M,20181201,000000,69.4706000